Term	Definition	LaTeX Term	Date of entry or modification	First seen (ch #)	also linked (special cases)
Caudovirales	Taxon of the tailed phages (Myophages, Siphophages, Podophages)	\textit{Caudovirales}		1	
chaperonin	multi-meric complex that aids in protein folding			2	
clear plaques	hallmark of virulent phages; plaques lack visible bacterial growth			1	
cleared lysate	Crude product of phage infection or induction; cleared of large cell debris and usually stored over chloroform in the cold.			1	
cohesive ends	the region of unpaired nucleotides on each end of lambda DNA prior to circularization			2	
coiled coil	a structural motif where multiple copies of a protein helix are coiled into a multimeric helix			2	
coliphage	phage of \bact{ecoli}			1	
constitutive	a promoter that is consistently active in the cell			2	
contractile tail	tail of a myophage			1	3
cos	an abbreviation for the cohesive ends of lambda DNA			2	
cryptic	a cryptic promoter has low or no functionality without transcription factors			2	3
cubic	symmetry term that includes icosahedral symmetry			1	
defective prophage	prophages that have undergone mutations, including deletions, such that a viable virion is no longer encoded. \bact{ecolik12} has several, including dlp at \SI{12}{\min}, for example.			1	
deletionogenic event	loss of DNA material during replication				
domain	a structural unit of a protein			2	
E. coli B	classic non-pathogenic laboratory strain of \bact{ecoli}; source was J. Bordet. Mandated for use with the T series (Seven Dwarves) in the Phage Course.	\bact{ecolib}			
efficiency of plating	usually the relative pfu titer on one strain compared to another. Absolute EOP is pfu per virion. This is 1 for T4 and lambda.				
endolysin	enzyme that cleaves host cell wall during the lytic cycle			3	
establishment	an established promoter is in its active form			2	
Felix d'Herelle	founder of phage biology. See Module 1.			1	
h mutant	short for host range, a mutant capable of infecting bacteria species other than its normal host	\textit{h} mutant			
helix-turn-helix	a protein structural motif			2	
hetero-immune	If a host cell, usually a lysogen, expresses a different, incompatible lysogenic repressor than an incoming temperate phage, this is considered to be a hetero-immune infection and, in general, results in a normal infection cycle for the incoming phage and also turbid plaque formation. Contrast with homo-immune.			2	
holin	protein which creates holes in the IM, allowing endolysins to be released into the cytoplasm			5	
Holliday junction	the interchange junction of DNA strands during recombination			3	
homo-immune	A bacterial strain that expresses a repressor compatible (capable of repressing) a particular phage is considered to be homo-immune to that phage. Usually this means it carries the prophage form of the phage, but in some cases, it might carry only a fragment of the prophage or even a different prophage that just happens to have a compatible repressor. In general, homo-immunity blocks gene expression in the incoming phage, leaving it as a non-replicating, repressed DNA molecule. In general, homo-immunity blocks plaque formation. See immunity.			2	
homolog	a homologous protein has similar DNA sequence to a protein in a different organism			1	
homology-dependent recombination	the universally-conserved process by which dsDNA molecules with regions of homologous undergo breakage and reunion recombination.  In E. coli, the key protein required for all homologous recombination is RecA. 			2	
hyper-recombinational	the state of elevated recombination attained in cells after DNA damage during the SOS response and also during phage infections.  Phages in general induce the hyper-rec state by expressing their own recombination proteins.  e.g., the lambda Red proteins.			2	
immunity	A bacterial strain is said to be immune to a temperate phage if the strain expresses a compatible lysogenic repressor that represses the phage upon entry of the DNA into the cytosol. Usually, this means that the immune host is already a lysogen of the phage. The lysogenic repressor was often referred to as the ``immunity'' substance. Unfortunate recent terminology has also brought in the CRISPR defense under the umbrella term of immunity, but it should be considered a form of insensitivity.			1	2
induction	the process of phage DNA exiting the lysogenic state and undergoing the lytic cycle			1	2
insensitivity	A bacterial strain is considered to be insensitive to a phage if the phage cannot propagate on the strain under the specified conditions. Since bacteria have been ``at war'' with phages for a long time, bacteria have developed many ways to interfere with phage predation. A common form of insensitivity is true resistance. However, many other host defences can lead to complete or partial insensitivity, including restriction, CRISPR acquired immunity, abortive infection strategies, and other phenomena. It is important to note that a cell can be killed by a phage even if it is insensitive to the phage. Sensitivity refers to the ability of the phage to propagate, rather than the ability of the cell to survive. In some cases of insensitivity, the phage is able to eject its DNA into the cell and the cell dies, but phage progeny are not produced, at least not enough to cause propagation of the phages in the particular growth condition.			1	
inverted repeat	an inverted DNA sequence found in operators			2	
juggernaut	the juggernaut refers to the complex of N protein, RNA, and RNA polymerase. This complex does not allow termination as it moves forward transcribing RNA.			2	
linear concatemers	Most phages form linear concatemers of their unit genome as substrates for Terminase-dependent DNA packaging. In lambda, linear concatemers of the phage genome are formed by rolling circle replication and enhanced in terms of length by Red-mediated recombination. 			2	
lipobox	a four residue motif found in signal sequences of bacterial lipoproteins.  The motif is (L,V,I)-X-(G,S,A)-C, where X is never charged and rarely hydrophilic.  Signal peptidase II cleaves the preprotein in front of the Cys residue, leading to covalent lipoylation of the Cys on the free amino terminus and the sulfur atom.  		170213	5	
lysis	the sudden loss of turbidity (cell density) in a bacterial culture, usually accompanied by a dramatic increase in viscosity, due to the release of host and phage DNA.  At the single cell level, the cell undergoes disruption of the envelope, resulting in the release of cytosolic contents and loss of phase contrast refractility. For Caudovirales, lysis at the single cell level is explosive.			1	
lysogenic repressor	an example in phage biology would be CI protein which, by repressing competing proteins, causes the pathway to proceed lysogenically			2	
lysozyme	enzyme which catalyzes degredation of the bacterial cell wall			3	4, 5
membrane potential	the voltage across the inner membrane of bacterial cells			2	
moron	a DNA element that is found in a specific region on the chromosome, but not in all phage particles				
myophage	a phage type charactarized by a contractile tail			1	
nicks	refers to a small single-stranded region in dsDNA, usually only a few nucleotides			2	
Okazaki fragment	the DNA fragments synthesized on the lagging strand during replication			3	
operator	a region of DNA that binds transcription factors and regulates gene expression			2	
permuted	a phage genome where no defined start or stop is present			2	
pinholin	pinholins create small gaps in the host IM, similar to holins			5	
plaque	A circular zone with reduced turbidity in a bacterial lawn. Each plaque is caused by a single phage particle that has successfully infected a cell and caused release of progeny, which then go on to diffuse in the agar to infect surrounding cells. For Caudovirales, plaques typically contain \textasciitilde\num{d6} virus particles. Temperate phages can form turbid plaques, because some cells become lysogenized by the phage and thus acquire immunity, allowing the lysogenic cells to grow within the plaque. Plaques can be completely clear, usually indicating that the phage is not capable of lysogenizing the host. Used for forming the lawn.				
podophage	a phage type charactarized by a short tail			1	
positive control	Positive control of gene expression means that in the absence of the regulatory molecule, expression is abrogated or reduced.  Positive control factors for transcription in phage biology are in two forms: anti-terminators (e.g., lambda N and Q),  and transcription factors (i.e., like lambda CII) which bind to DNA and activate transcription.  			2	
prohead	a mature prohead is the intermediate that is recognized by the Terminase to begin DNA packaging. 			2	
prolate	charactarizes elongation in the vertical direction				
promoter	a promoter is a DNA locus that causes RNA polymerase to initiate transcription at a specific nearby site.			2	
prophage	A prophage is a dormant form of a temperate phage. A prophage is kept in its inactive state by a lysogenic repressor encoded on the prophage. Most prophages are integrated as a single copy into the host chromosome. However, some temperate phages form plasmid prophages. On average, bacterial genomes have been found to contain 3-6 recognizable prophage elements and often many more fragments of prophages, often designated as defective prophages. In truth however, it is not known for most prophage elements whether or not the element encodes a viable phage or not. All it would take is a single base pair defect in an essential gene and the prophage would be defective. Only when we can isolate the phage particle from a culture of the lysogenic cell can we be sure the prophage is functional.			1	
pseudogene	a gene which no longer functions due to a mutation				
quasi-equivalence	For all T>1 capsid structures, the MCP assumes T slightly different (quasi-equivalent) structures. Thus in a T=7 phage like lambda, the MCP is in 7 slightly different conformations, one of which is the vertex pentameric structure, and the other 6 are structures found in different hexamers. The Caspar-Klug theory of quasi-equivalence explained how it could be that viruses can have vastly different capsid sizes, yet all have about the same size MCP. The alternative would have been that every virus had T=1 symmetry and be made up of 12 pentamers, so to get bigger (and be able to encapsulate more nucleic acid), the MCP itself would have to get bigger in all three dimensions during evolution. 		170123	2	
regulon	a series of genes that are similarly regulated			2	
replisome	the multi-protein complex that functions to replicate DNA			3	
repressor	a protein that binds to an operator and inhibits transcription of that gene			2	
resistant	A bacterial strain exhibits resistance to a particular phage if the phage is unable to adsorb to the host cell and transfer its nucleic acid into the cytosol. The most common form of resistance is the loss or mutational alteration of the receptor on the surface of the host.				
restriction	In phage biology, a phage is said to be restricted on a host if the bacterium carries a restriction enzyme system that can cleave the phage DNA. Restriction enzymes recognize a specific sequence in the phage DNA and, in general, cleave the DNA if it is not chemically modified in a certain way recognized by the restriction enzyme. Restriction systems always include an enzyme activity that will modify DNA in the host, so the incoming foreign DNA can be recognized and attacked. In general, efficient restriction systems prevent killing of the infected cell, since the phage DNA is degraded before it can be expressed. However, since the modification activity is also around, the ability to recognize the phage DNA and attack it represents a competion between the restriction cleavage and modification processes. Typically, in about one of a d-2d-4infections, the phage DNA gets modified before it is cleaved. In this case, the modified phage is then able to replicate, cause lysis and release modified progeny, which no longer are attenuated by the surrounding host cells. Thus modification can be considered a form of epigenetic change; the DNA sequence of the phage has not changed but it has acquired the ability to grow on the restricting host. Often, this means that the modified phage will be recognized by the restriction system of the host on which the phage was originally grown, so it will now be restricted on that host.				
sensitivity	A bacterial strain is considered to be sensitive to a phage if the phage can propagate in a culture of those cells. Obviously, the ability to propagate depends on a number of factors and can range from weak to very robust. Usually, sensitivity means ability to form a plaque on the lawn of the sensitive cells. However, there are some conditions where plaque formation in an agar lawn does not reflect the ability of the phage to propagate. For example, extremely large phage particles might not be able to diffuse well enough to form a plaque. In some cases, agar plating conditions lead to physiological changes that abrogate the ability of a particular phage to form plaques, yet in liquid culture the phage can propagate and grow to reasonable or high titers and cause lysis. Contrast to insensitivity.				
siphophage	a phage type charactarized by a long, noncontractile tail			1	
site-specific recombination	Site-specific recombination is a recombination event that does not rely on sequence homology but instead occurs between specific sites and requires specific proteins other than the Rec system.  The most famous example of site-specific recombination in phage biology is the reaction between attP in the lambda DNA and attB in the \bact{ecoli} chromosome, catalyzed by the phage Int protein and resulting in the integration of the lambda DNA as a prophage.			2	
SOS response	DNA damage results in this mechanism triggering a lysogen to undergo the lytic cycle			2	
spanin	functions in aiding the OM disruption during lysis			5	
specificity	Phages usually show specificity for strains that have the receptor recognized by the tail fibers or other adsorption device of the virion. Some phages are specific for only a few strains of a bacterial species; this is also referred to as having a narrow host range. This in general is due to the receptor being a particular sugar structure or protein on the cell surface. If this receptor is not found in most strains of the bacterial species, the phage would be considered highly specific. Although the general opinion in modern phage therapy is that phages are highly specific anti-bacterial agents, some phages show very broad host range by recognizing universally conserved receptors. Note that specificity can be negatively over-ridden by other factors including restriction systems, etc.			1	
specificity loop	this is a small N-terminal domain of the ``single-subunit'' RNA polymerases, the prototype for which is gp\textit{1} of T7 phage.  This loop inspects the duplex DNA as it enters the active site and looks for the long promoter sequence. 			4	
sub-operators	an operator within a tripartite operator			2	
symmetry	In crystallographic terminology, an N-fold symmetry axis exists if a structure can be rotated in N steps without changing the structure. So a 2-fold symmetry axis can be rotated \ang{180} and look the same. In phage biology, the phage head or capsid has multiple symmetry axes. Each of the icosahedral vertices has a 5-fold axis in its middle. In all heads with T>1, there are hexamers of the MCP with 2-, 3- and 6-fold axes of symmetry. At the portal vertex in \textit{Caudovirales}, the portal has 12 subunits and 2-, 3-, 4-, 6- and 12-fold axes in the middle of the portal. In T>1 capsids, the portal is surrounded by MCP hexamers constructed in 6-fold symmetry. Note the tail tube has 3-fold and 6-fold symmetry down the middle of the tube (since it is built of hexameric  rings of tail proteins, so the portal can match up with the tail without a symmetry mismatch. The symmetry mismatch between the portal vertex and the portal itself means that that every one of the portal protein-MCP protein interactions are different, which means getting the details right about the crystallographic structure is very difficult, since averaging of image data at these junctions is not allowed.		170123	2	
tail spike	the distal end of the flexible tail in lambda			2	
tail tube	a term describing the cylindrical tube located within the sheath; contains the tape measure protein			2	
tape measure protein	The tape measure protein determines the length of the phage tail			2	
temperate	a phage capable of the lysogenic or lytic pathway			1	
terminator	a region of DNA sequence at the end of a gene which ends transcription			2	
titer	In virology, the titer is proportional to the concentration of the virus, usually cited per mL, in a particular sample or preparation. If it is a biological titer, usually determined by plating on a lawn, it is expressed in PFU (plaque-forming units.) For phage T4 under specified conditions with its ideal host, the PFU titer is equal to the virion titer; i.e., there is an EOP (efficiency of plating) ~1. However, for most viruses and phages, it is difficult to measure the absolute virion titer, especially since many virions that would be visible by microscopy might have damage from the purification or isolation procedure, or even have assembly defects due to the intracellular morphogenesis pathway, and thus not be able to infect successfully. Titers can also be determined by microscopy and other physical means.				
transcription factor	In general, transcription factors are DNA-binding proteins that positively affect the initiation of transcription by RNA polymerase at a nearby promoter.				
triggering	the term triggering refers to the still mysterious event in which phage holins suddenly aggregate in two dimensions and soon thereafter form a hole or pinhole.  It is always associated with loss of the PMF.  It is thought to occur when the holin accumulates to a critical two-dimensional concentration.  The critical concentration model is derived from the studies of bacteriorhodopsin (BR) by Khorana and his colleagues.  BR  accumulates in the membrane as a monomer until it reaches a critical concentration, after which the famous purple membrane array is assembled and continues to grow as new BR is produced.		170212	5	
tripartite operators	a tripartite operator consists of three sub-operators, each with different binding requirements			2	
turbidity	a measure of suspended cells in a lysate			1	
tyrosine recombinase	the enzyme required for site-specific recombination of phage DNA			2	
vir	refers to vir mutants	\textit{vir}		2	
virulent	a phage only capable of replicating using the lytic pathway			1	
vRNAP	virion RNA polymerase			6	
Wac	the Wac protein forms the phage whiskers and collar structures			3	
noisy	Noisy here describes a low signal-to-noise ratio, i.e. a lot of noise and very little signal.			bioinfo-book	
SD	``The Shine-Dalgarno (SD) sequence is a ribosomal binding site in prokaryotic messenger RNA.'' The canonical sequence is \texttt{AGGAGGU}\url{https://en.wikipedia.org/wiki/Shine-Dalgarno_sequence}	Shine-Dalgarno			
coverage	The percentage of a genome which is occupied by coding sequences. There are numerous methods for calculating coverage, one of the common (but wrong) options is to add up the lengths of all coding sequences and divide by the length of the genome. Consider why this might be wrong for phages, whereas it might work well for other organisms.				
